row_id,trigger,target,specification
2540,being invited to dinner,asking about bringing something,ask if bringing a gift is appropriate
2541,arriving or leaving a gathering,greeting or saying goodbye,greet everyone present
2542,entering a room,acknowledging elders,considered respectful but not required
2543,at a gathering,giving up seat,give up seat for elderly
2544,encountering an elder,offering a seat,offer a seat without asking
2545,,,
2546,sitting down to a meal,when to start eating,wait until everyone is present
2547,finishing a meal,utensil placement,place utensils side by side on the plate
2548,public settings,dress code,dress neatly and avoid casual attire
2549,during a meal,how much to eat,finish everything on your plate
2550,dining and social events,behavior towards elders and higher status,show deference
2551,entering someone's home,shoe removal,offer to remove shoes
2552,dining at someone's home,how to show appreciation,compliment the host's hospitality or make a gracious toast
2553,entering someone's home,shoe removal,offer to remove shoes
2554,starting a meal,when to begin eating,wait for the host's signal
2555,after finishing first serving,asking for more food,ask for a second serving if still hungry
2556,starting a meal,who begins eating,wait for the eldest person
2557,feeling unwell,wearing a mask,wear a mask to prevent spreading illness
2558,feeling unwell,wearing a mask,wear a mask to prevent spreading illness
2559,feeling unwell,wearing a mask,wear a mask to prevent spreading
2560,giving a gift,how to insist,insist at least twice after initial refusals
2561,bringing something to a gathering,sharing behavior,share it with everyone
2562,being late,notification of delay,give prior notice or legitimate reason
2563,visiting someone,who can be visited,visit without prior warning
2564,arriving at social events,timing of arrival,arrive later than the designated time
2565,after a meal,expressing gratitude,verbally thank those who cooked and served
2566,during meals,hand position,keep hands above the table
2567,giving gifts,items to give,avoid items with negative symbolism
2568,sitting down to a meal,when to start eating,wait for the host's signal
2569,serving food,how to serve the portions,offer the best portion to the person beside you
2570,someone older enters the room,behavior of standing up,stand up out of respect
2571,offering a gift,how to present the gift,offer with both hands
2572,after a meal,participation in conversations,stay for relaxed conversations
2573,after a meal,duration of stay,stay for relaxed conversations
2574,after a meal,duration of visit,stay for relaxed conversations
2575,after the meal,how to show gratitude,express thanks to the host
2576,guest arrival,welcoming behavior,warmly welcome and offer refreshments
2577,entering someone's home,shoe removal,remove shoes before entering
2578,interacting with women,showing chivalry,"open doors, offer seat, carry items"
2579,finishing all food on plate,expression of respect,finish all food to show appreciation
2580,being hosted or paid for,how to show gratitude,offer to take them out later
2581,receiving a gift,how to express gratitude,show appreciation immediately
2582,being introduced to someone,using their first name,wait until invited
2583,using someone's first name,when to use the first name,wait until invited
2584,using someone's first name,when to use the first name,wait until invited
2585,visiting friends,notice requirement,visit without prior notice
2586,public settings,volume of speech,speak in a moderate volume
2587,meeting someone new,initiating handshake or conversation,wait for the other person to initiate
2588,before and after meals,expressing gratitude,say thank you
2589,after a meal,requesting second helpings,do not request second helpings
2590,receiving a gift,giving a thank-you gift,give a gift of half the value
2591,giving a gift,how to present the gift,use both hands
2592,seeing an elderly person in public,giving up your seat,offer your seat to elderly
2593,appointment time,punctuality,be on time to show respect
2594,seeing an elderly person in public,offering a seat,offer your seat politely
2595,receiving an artifact as a gift,how to accept the gift,admire it but be cautious
2596,selecting a gift,consideration of recipient's beliefs,consider religious and cultural beliefs
2597,receiving a gift from a host,how to accept the gift,"politely refuse first, then accept"
2598,,,
2599,arriving at gatherings,timeliness,arrive on time within specified window
2600,being invited to someone's home,timeliness,arrive as punctually as possible and inform if delayed
2601,starting to eat,when to begin eating,"wait for the host to say ""buon appetito"""
